_key,strokes,grade,freq,jlpt_old,jlpt_new,meanings/0,meanings/1,readings_on/0,readings_on/1,readings_kun/0,readings_kun/1,wk_level,wk_meanings/0,wk_readings_on/0,wk_readings_on/1,wk_readings_kun/0,wk_radicals/0,readings_kun/2,wk_readings_kun/1,readings_kun/3,readings_kun/4,readings_kun/5,meanings/2,meanings/3,meanings/4,meanings/5,readings_on/2,wk_meanings/1,wk_radicals/1,readings_kun/6,readings_kun/7,readings_kun/8,readings_kun/9,readings_kun/10,readings_kun/11,readings_kun/12,readings_kun/13,readings_kun/14,wk_meanings/2,wk_readings_kun/2,wk_readings_kun/3,wk_readings_kun/4,wk_meanings/3,readings_on/3,readings_on/4,meanings/6,meanings/7,meanings/8,meanings/9,meanings/10,meanings/11,meanings/12,wk_readings_on/2,wk_radicals/2,wk_radicals/3,wk_meanings/4,readings_kun/15,readings_kun/16,readings_kun/17,meanings/13,wk_radicals/4,wk_readings_kun/5,readings_on/5,readings_on/6
母,5,2,570,4,5,Mother,,ぼ,,はは,も,3,Mother,!ぼ,,はは,Sun,,,,,,,,,,,^Mom,Drop,,,,,,,,,,^Mum,,,,,,,,,,,,,,,,,,,,,,,,,
用,5,2,107,3,4,Utilize,Business,よう,,もち.いる,,3,Task,よう,,!もち,Task,,,,,,Service,Use,Employ,,,^Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
矢,5,2,1294,1,1,Dart,Arrow,し,,や,,3,Arrow,!し,,や,Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世,5,3,135,3,4,Generation,World,せい,せ,よ,,4,World,せ,せい,!よ,World,,,,,,Society,Public,,,そう,^Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主,5,3,95,3,4,Lord,Chief,しゅ,す,ぬし,おも,4,Master,しゅ,,!おも,Master,あるじ,!ぬし,,,,Master,Main Thing,Principal,,しゅう,^Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
他,5,3,543,2,3,Other,Another,た,,ほか,,4,Other,た,,!ほか,Leader,,,,,,The Others,,,,,,Alligator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代,5,3,66,3,4,Substitute,Change,だい,たい,か.わる,かわ.る,4,Substitute,だい,,!か,Leader,かわ.り,!かわ,か.わり,-がわ.り,-が.わり,Convert,Replace,Period,Age,,^Replace,Ceremony,か.える,よ,しろ,,,,,,,^Period,!しろ,,,^Age,,,"Counter For Decades Of Ages, Eras, Etc.",Generation,Charge,Rate,Fee,,,,,,,,,,,,,,
写,5,3,453,3,4,Copy,Be Photographed,しゃ,じゃ,うつ.す,うつ.る,4,Copy,しゃ,,!うつ,Forehead,うつ-,,うつ.し,,,Describe,,,,,,Ground,,,,,,,,,,,,,,,,,,,,,,,,,Beggar,,,,,,,,,,
去,5,3,440,3,4,Gone,Past,きょ,こ,さ.る,-さ.る,4,Past,きょ,こ,!さ,Dirt,,,,,,Quit,Leave,Elapse,Eliminate,,,Private,,,,,,,,,,,,,,,,,Divorce,,,,,,,,,,,,,,,,,,
号,5,3,585,2,3,Nickname,Number,ごう,,さけ.ぶ,よびな,4,Number,ごう,,,Mouth,,,,,,Item,Title,Pseudonym,Name,,,Ground,,,,,,,,,,,,,,,,,Call,,,,,,,,Prison,,,,,,,,,,
央,5,3,582,2,2,Center,Middle,おう,,,,4,Center,おう,,,Big,,,,,,,,,,,^Centre,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平,5,3,128,2,3,Even,Flat,へい,びょう,たい.ら,-だいら,4,Flat,へい,^ひょう,!たいら,Dry,ひら,!ひら,ひら-,,,Peace,,,,ひょう,^Peace,Horns,,,,,,,,,,,,,,,,,,,,,,,,^びょう,,,,,,,,,,,
